time,type,description,details
2983,ORDER_DELIVERED,Order 21 delivered by courier 0,"{""order_id"": 21, ""courier_id"": 0, ""click_to_door"": 1013.2901309624522, ""ready_to_door"": 833.2901309624522}"
2983,COURIER_IDLE,Courier 0 is now idle,"{""courier_id"": 0}"
3000,ASSIGNMENT_MADE,Courier 0 assigned orders [26],"{""courier_id"": 0, ""order_ids"": [26], ""bundle_size"": 1, ""has_relay"": false}"
3055,ORDER_PLACED,Order 31 placed,"{""order_id"": 31, ""restaurant_id"": 4}"
3076,ORDER_READY,Order 28 is ready for pickup,"{""order_id"": 28}"
3115,PICKUP_SERVICE_START,Courier 2 starting pickup service (90s),"{""courier_id"": 2, ""service_time"": 90}"
3137,ORDER_PLACED,Order 32 placed,"{""order_id"": 32, ""restaurant_id"": 2}"
3152,ORDER_READY,Order 29 is ready for pickup,"{""order_id"": 29}"
3162,ORDER_READY,Order 30 is ready for pickup,"{""order_id"": 30}"
3171,ORDER_DELIVERED,Order 18 delivered by courier 3,"{""order_id"": 18, ""courier_id"": 3, ""click_to_door"": 1624.1814657012928, ""ready_to_door"": 1444.1814657012928}"
3171,COURIER_IDLE,Courier 3 is now idle,"{""courier_id"": 3}"
3178,PICKUP_SERVICE_START,Courier 4 starting pickup service (90s),"{""courier_id"": 4, ""service_time"": 90}"
3183,ORDER_DELIVERED,Order 14 delivered by courier 1,"{""order_id"": 14, ""courier_id"": 1, ""click_to_door"": 1782.622702779057, ""ready_to_door"": 1602.622702779057}"
3183,COURIER_IDLE,Courier 1 is now idle,"{""courier_id"": 1}"
3205,ORDER_PICKED_UP,Order 23 picked up by courier 2,"{""order_id"": 23, ""courier_id"": 2}"
3205,COURIER_DELIVERING,Courier 2 heading to first dropoff (optimized),"{""courier_id"": 2, ""order_ids"": [23]}"
3235,ORDER_READY,Order 31 is ready for pickup,"{""order_id"": 31}"
3268,ORDER_PICKED_UP,Order 22 picked up by courier 4,"{""order_id"": 22, ""courier_id"": 4}"
3268,COURIER_DELIVERING,Courier 4 heading to first dropoff (optimized),"{""courier_id"": 4, ""order_ids"": [22]}"
3278,PICKUP_SERVICE_START,Courier 0 starting pickup service (90s),"{""courier_id"": 0, ""service_time"": 90}"
3300,ASSIGNMENT_MADE,Courier 1 assigned orders [30],"{""courier_id"": 1, ""order_ids"": [30], ""bundle_size"": 1, ""has_relay"": false}"
3300,ASSIGNMENT_MADE,Courier 3 assigned orders [31],"{""courier_id"": 3, ""order_ids"": [31], ""bundle_size"": 1, ""has_relay"": false}"
3317,ORDER_READY,Order 32 is ready for pickup,"{""order_id"": 32}"
3368,ORDER_PICKED_UP,Order 26 picked up by courier 0,"{""order_id"": 26, ""courier_id"": 0}"
3368,COURIER_DELIVERING,Courier 0 heading to first dropoff (optimized),"{""courier_id"": 0, ""order_ids"": [26]}"
3405,PICKUP_SERVICE_START,Courier 3 starting pickup service (90s),"{""courier_id"": 3, ""service_time"": 90}"
3495,ORDER_PICKED_UP,Order 31 picked up by courier 3,"{""order_id"": 31, ""courier_id"": 3}"
3495,COURIER_DELIVERING,Courier 3 heading to first dropoff (optimized),"{""courier_id"": 3, ""order_ids"": [31]}"
3587,ORDER_EXPIRED,Order 24 expired (not matched within 900s),"{""order_id"": 24}"
3600,SIMULATION_END,Simulation completed,"{""final_metrics"": {""orders_delivered"": 13, ""orders_in_transit"": 5, ""orders_unassigned"": 5, ""orders_out_of_scope"": 0, ""total_delivery_time"": 16787.178666505137, ""total_ready_to_door_time"": 14447.178666505139, ""total_distance_traveled"": 43.975774346723696, ""total_courier_idle_time"": 1581.0, ""bundles_created"": 17, ""total_bundle_size"": 18, ""unserved_orders"": 20, ""relay_handoffs"": 0, ""relay_orders"": 0, ""relay_distance_saved"": 0.0, ""orders_expired"": 10, ""fulfillment_rate_pct"": 39.39393939393939, ""avg_click_to_door_time"": 1291.3214358850107, ""p90_click_to_door_time"": 1750.9344553635042, ""avg_ready_to_door_time"": 1111.3214358850107, ""avg_delivery_time"": 1291.3214358850107, ""avg_ready_to_door_time_sec"": 1111.3214358850107, ""avg_pickup_wait_time"": 621.9368205003952, ""courier_utilization_pct"": 91.21666666666667, ""courier_utilization"": 91.21666666666667, ""total_distance_traveled_km"": 43.975774346723696, ""avg_orders_per_courier_hour"": 2.6, ""system_throughput_orders_per_hour"": 13.0, ""avg_bundle_size"": 1.0588235294117647}}"
